Iteration,Accuracy,Weight Decay
0,0.6119540229885058,3.4304692863149195e-08
1,0.7108045977011495,3.2639458219991734e-08
2,0.6841379310344827,1.5987111788417138e-08
3,0.6372413793103449,1.694633568898692e-08
4,0.7682758620689655,1.7640969257885612e-07
5,0.7609195402298851,3.199267137797384e-07
6,0.7770114942528735,3.199267137797384e-07
7,0.7797701149425287,3.047452535080618e-07
8,0.7898850574712644,1.5293065079129583e-07
9,0.7898850574712644,3.96396275506239e-05
10,0.7944827586206896,0.00043587292797340083
11,0.8073563218390805,0.0007534075028189515
12,0.8096551724137931,0.00036265354746946684
13,0.792183908045977,1.1385193403020284e-05
14,0.8216091954022988,1.5487250883917444e-05
15,0.8390804597701149,2.1747548641247966e-05
16,0.8468965517241379,4.7432008886478754e-05
17,0.8349425287356322,6.702129847571442e-05
18,0.8326436781609196,3.175405216099409e-05
19,0.8496551724137931,1.3530477745798077e-08
