Iteration,Accuracy,Weight Decay
0,0.5924265072247135,0.04350343462103143
1,0.6332835077229696,0.024976940743916237
2,0.5939212755356253,0.014340191167883296
3,0.6098654708520179,0.008233237402443975
4,0.6482311908320877,0.0047270079827679235
5,0.6641753861484804,0.002713951192822261
6,0.6571998006975586,0.00155818037622785
7,0.674638764324863,0.0008946093398005229
8,0.70254110612855,0.0005136285137897905
9,0.7424015944195317,0.00029489324383393244
10,0.7628300946686597,0.0001693091853823552
11,0.7643248629795715,9.720670396565467e-05
12,0.7568510214250125,5.5809986177224715e-05
13,0.7807673143996013,3.204258996583746e-05
14,0.8111609367214748,1.8396843325823638e-05
15,0.8251121076233184,1.0562312369747188e-05
16,0.8031888390632785,6.064216595219584e-06
17,0.8310911808669657,3.4816924198405245e-06
18,0.8375685102142502,1.9989691852251597e-06
19,0.8405580468360737,1.1476825984711098e-06
