Iteration,Accuracy,Weight Decay
0,0.6437468858993523,0.0007924828983539
1,0.6447433981066268,0.0007924828983539
2,0.6532137518684604,0.0007924828983539
3,0.6457399103139013,0.000594362610647525
4,0.680119581464873,0.00019812203523477496
5,0.7000498256103638,4.281488081676788e-07
6,0.7458893871449925,1.280951367703021e-06
7,0.7508719481813653,8.236912991120834e-06
8,0.7563527653213752,2.1296033678421116e-05
9,0.7643248629795715,0.00043789432981655344
10,0.7942202291978077,0.0012580318014055179
11,0.7962132536123567,0.0012511914426208404
12,0.7867463876432487,0.0004173732534625209
13,0.8051818634778276,2.626026052809685e-06
14,0.8081714000996513,6.949760391706498e-06
15,0.8136522172396612,0.002232371434283441
16,0.8106626806178375,0.0066788910477280135
17,0.8121574489287494,0.0068410964470021
18,0.8161434977578476,0.0027189876321057
19,0.8116591928251121,0.0006579332246575
