Iteration,Accuracy,Weight Decay
0,0.6397608370702541,0.08556271867842906
1,0.591429995017439,0.07656285499744975
2,0.5749875435974091,0.06806298374319152
3,0.5455904334828101,0.06006310491565437
4,0.5665171898355755,0.052563218514838285
5,0.558046836073742,0.04556332454074328
6,0.5719980069755854,0.03906342299336934
7,0.6023916292974589,0.033063513872716464
8,0.600896860986547,0.027563597178784673
9,0.6078724464374688,0.02256367291157395
10,0.6601893373193821,0.018063741071084306
11,0.6273044344793224,0.014063801657315725
12,0.6995515695067265,0.010563854670268217
13,0.6816143497757847,0.0075639001099417884
14,0.7199800697558545,0.005063937976336426
15,0.7443946188340808,0.0030639682694521392
16,0.770802192326856,0.0015639909892889213
17,0.7827603388141505,0.0005640061358467762
18,0.7872446437468859,6.401370912570486e-05
19,0.8106626806178375,6.401370912570431e-05
