Iteration,Accuracy,Weight Decay
0,0.6497259591429995,2.4874285947032307e-05
1,0.7902341803687095,0.0005408307138539044
2,0.8345789735924265,0.003594446891622118
3,0.8216243148978575,0.00020014596474189189
4,0.8480318883906328,2.928788178798145e-05
5,0.8555057299451918,0.0002637949427542077
6,0.8589935226706528,0.005342409192109393
7,0.8704534130543099,6.663175433838756e-05
8,0.8794220229197808,5.606306415137176e-05
9,0.877927254608869,0.0004095852145261598
10,0.8799202790234181,0.0015554287605384933
11,0.885401096163428,0.0056150281719018575
12,0.8888888888888888,0.0011501615013925777
13,0.8903836571998007,0.0007425569380720728
14,0.8963627304434479,0.0001374576214553571
15,0.8973592426507224,0.0007092737265898196
16,0.8953662182361734,1.5375791046788733e-05
17,0.8963627304434479,0.0006096636950974728
18,0.8988540109616343,0.001152673237723048
19,0.8968609865470852,4.8993432786126615e-05
