Iteration,Accuracy,Weight Decay
0,0.6407573492775287,0.09861851694491379
1,0.772795216741405,0.09619403427371759
2,0.7693074240159442,0.09263211981741842
3,0.8036870951669158,0.08802047973124676
4,0.807673143996014,0.08247266789928005
5,0.8261086198305929,0.07612528986095322
6,0.8435475834578974,0.06913463912930984
7,0.8420528151469856,0.06167284872600258
8,0.84853014449427,0.0539236526950234
9,0.852017937219731,0.04607786196076218
10,0.8574987543597409,0.038328665929783026
11,0.8649725959143,0.030866875526475736
12,0.8619830592924763,0.023876224794832344
13,0.8664673642252118,0.017528846756505522
14,0.8819133034379671,0.011981034924538829
15,0.8888888888888888,0.007369394838367151
16,0.890881913303438,0.003807480382067993
17,0.890881913303438,0.0013829977108717802
18,0.8943697060288989,0.00015564563454002447
19,0.8978574987543597,0.00015564563454001894
