Iteration,Accuracy,Weight Decay
0,0.7269556552067763,0.04350343462103143
1,0.7703039362232187,0.024976940743916237
2,0.8126557050323866,0.014340191167883296
3,0.8340807174887892,0.008233237402443975
4,0.8390632785251619,0.0047270079827679235
5,0.8475336322869955,0.002713951192822261
6,0.8525161933233683,0.00155818037622785
7,0.8589935226706528,0.0008946093398005229
8,0.8679621325361235,0.0005136285137897905
9,0.877927254608869,0.00029489324383393244
10,0.877927254608869,0.0001693091853823552
11,0.8819133034379671,9.720670396565467e-05
12,0.8868958644743398,5.5809986177224715e-05
13,0.8923766816143498,3.204258996583746e-05
14,0.8913801694070752,1.8396843325823638e-05
15,0.8858993522670653,1.0562312369747188e-05
16,0.8878923766816144,6.064216595219584e-06
17,0.8928749377179871,3.4816924198405245e-06
18,0.8923766816143498,1.9989691852251597e-06
19,0.8923766816143498,1.1476825984711098e-06
