Iteration,Accuracy,Weight Decay
0,0.7085201793721974,0.09250011359918392
1,0.7294469357249627,0.0875001893319732
2,0.7159940209267563,0.08250026506476248
3,0.7588440458395616,0.07750034079755176
4,0.7882411559541604,0.07250041653034103
5,0.8121574489287494,0.06750049226313032
6,0.8126557050323866,0.06250056799591959
7,0.8330842052815147,0.057500643728708875
8,0.8455406078724464,0.05250071946149815
9,0.8360737419033383,0.047500795194287425
10,0.8584952665670155,0.04250087092707671
11,0.8570004982561036,0.03750094665986599
12,0.8689586447433981,0.03250102239265526
13,0.8729446935724963,0.027501098125444545
14,0.8754359740906826,0.022501173858233817
15,0.8739412057797707,0.017501249591023102
16,0.8734429496761336,0.012501325323812373
17,0.8849028400597907,0.007501401056601645
18,0.890881913303438,0.00250147678939093
19,0.8714499252615845,-0.0024984474778197846
