Iteration,Accuracy,Weight Decay
0,0.7010463378176383,0.08556271867842906
1,0.7867463876432487,0.07656285499744975
2,0.7932237169905332,0.06806298374319152
3,0.8166417538614849,0.06006310491565437
4,0.8181365221723966,0.052563218514838285
5,0.8350772296960638,0.04556332454074328
6,0.8375685102142502,0.03906342299336934
7,0.85401096163428,0.033063513872716464
8,0.8589935226706528,0.027563597178784673
9,0.866965620328849,0.02256367291157395
10,0.8799202790234181,0.018063741071084306
11,0.8774289985052317,0.014063801657315725
12,0.8849028400597907,0.010563854670268217
13,0.8858993522670653,0.0075639001099417884
14,0.8824115595416044,0.005063937976336426
15,0.8863976083707026,0.0030639682694521392
16,0.8923766816143498,0.0015639909892889213
17,0.8933731938216243,0.0005640061358467762
18,0.8903836571998007,6.401370912570486e-05
19,0.8933731938216243,6.401370912570431e-05
