Iteration,Accuracy,Weight Decay
0,0.700548081714001,0.09859365859722952
1,0.7294469357249627,0.0977022978118037
2,0.7513702042850025,0.09626736780297294
3,0.815146985550573,0.09399142599319156
4,0.8350772296960638,0.09046519793170772
5,0.8295964125560538,0.0851955044373761
6,0.841056302939711,0.07773032343152284
7,0.8579970104633782,0.06791835585137873
8,0.8505231689088192,0.056218313240475805
9,0.8589935226706528,0.04378320141530977
10,0.8734429496761336,0.03208315880440685
11,0.8679621325361235,0.022271191224262736
12,0.8819133034379671,0.014806010218409481
13,0.8898854010961634,0.00953631672407786
14,0.8933731938216243,0.006010088662594013
15,0.890881913303438,0.0037341468528126437
16,0.8968609865470852,0.0022992168439818607
17,0.8978574987543597,0.0014078560585560511
18,0.9033383158943697,0.0008592502052188616
19,0.9073243647234679,0.0005235193184478273
