Iteration,Accuracy,Weight Decay
0,0.5789735924265073,0.09861851694491379
1,0.5700049825610364,0.09619403427371759
2,0.587942202291978,0.09263211981741842
3,0.6890881913303438,0.08802047973124676
4,0.6636771300448431,0.08247266789928005
5,0.6781265570503239,0.07612528986095322
6,0.7015445939212755,0.06913463912930984
7,0.6865969108121575,0.06167284872600258
8,0.7508719481813653,0.0539236526950234
9,0.763328350772297,0.04607786196076218
10,0.7658196312904834,0.038328665929783026
11,0.8106626806178375,0.030866875526475736
12,0.8066766317887394,0.023876224794832344
13,0.815146985550573,0.017528846756505522
14,0.8141504733432985,0.011981034924538829
15,0.8216243148978575,0.007369394838367151
16,0.828101644245142,0.003807480382067993
17,0.8221225710014948,0.0013829977108717802
18,0.8191330343796711,0.00015564563454002447
19,0.8111609367214748,0.00015564563454001894
