Iteration,Accuracy,Weight Decay
0,0.5560538116591929,0.09859365859722952
1,0.5754857997010463,0.0977022978118037
2,0.6492277030393623,0.09626736780297294
3,0.7159940209267563,0.09399142599319156
4,0.5874439461883408,0.09046519793170772
5,0.6382660687593423,0.0851955044373761
6,0.6243148978574987,0.07773032343152284
7,0.6427503736920778,0.06791835585137873
8,0.6676631788739412,0.056218313240475805
9,0.6860986547085202,0.04378320141530977
10,0.7035376183358246,0.03208315880440685
11,0.7852516193323368,0.022271191224262736
12,0.71350274040857,0.014806010218409481
13,0.794718485301445,0.00953631672407786
14,0.820627802690583,0.006010088662594013
15,0.8325859491778774,0.0037341468528126437
16,0.8226208271051321,0.0022992168439818607
17,0.833582461385152,0.0014078560585560511
18,0.8320876930742401,0.0008592502052188616
19,0.8395615346287992,0.0005235193184478273
