Iteration,Accuracy,Weight Decay
0,0.6786248131539612,0.09861851694491379
1,0.763328350772297,0.09619403427371759
2,0.7384155455904334,0.09263211981741842
3,0.817140009965122,0.08802047973124676
4,0.8380667663178873,0.08247266789928005
5,0.8500249128051819,0.07612528986095322
6,0.8634778276033881,0.06913463912930984
7,0.8709516691579472,0.06167284872600258
8,0.8814150473343298,0.0539236526950234
9,0.885401096163428,0.04607786196076218
10,0.8883906327852517,0.038328665929783026
11,0.8858993522670653,0.030866875526475736
12,0.8873941205779771,0.023876224794832344
13,0.8973592426507224,0.017528846756505522
14,0.8978574987543597,0.011981034924538829
15,0.9038365719980069,0.007369394838367151
16,0.9018435475834579,0.003807480382067993
17,0.9023418036870952,0.0013829977108717802
18,0.9028400597907325,0.00015564563454002447
19,0.9023418036870952,0.00015564563454001894
