Iteration,Accuracy,Weight Decay
0,0.6701544593921276,0.04350343462103143
1,0.8056801195814649,0.024976940743916237
2,0.8086696562032885,0.014340191167883296
3,0.8445440956651719,0.008233237402443975
4,0.8565022421524664,0.0047270079827679235
5,0.8589935226706528,0.002713951192822261
6,0.8714499252615845,0.00155818037622785
7,0.872446437468859,0.0008946093398005229
8,0.8809167912306926,0.0005136285137897905
9,0.8824115595416044,0.00029489324383393244
10,0.8824115595416044,0.0001693091853823552
11,0.8868958644743398,9.720670396565467e-05
12,0.8858993522670653,5.5809986177224715e-05
13,0.8868958644743398,3.204258996583746e-05
14,0.8873941205779771,1.8396843325823638e-05
15,0.890881913303438,1.0562312369747188e-05
16,0.8888888888888888,6.064216595219584e-06
17,0.8883906327852517,3.4816924198405245e-06
18,0.8938714499252616,1.9989691852251597e-06
19,0.9003487792725461,1.1476825984711098e-06
