Iteration,Accuracy,Weight Decay
0,0.6900847035376183,0.09859365859722952
1,0.6781265570503239,0.0977022978118037
2,0.7339312406576981,0.09626736780297294
3,0.8111609367214748,0.09399142599319156
4,0.8211260587942202,0.09046519793170772
5,0.8315894369706028,0.0851955044373761
6,0.8574987543597409,0.07773032343152284
7,0.866965620328849,0.06791835585137873
8,0.8555057299451918,0.056218313240475805
9,0.8689586447433981,0.04378320141530977
10,0.8849028400597907,0.03208315880440685
11,0.8873941205779771,0.022271191224262736
12,0.8953662182361734,0.014806010218409481
13,0.9008470353761834,0.00953631672407786
14,0.9013452914798207,0.006010088662594013
15,0.9013452914798207,0.0037341468528126437
16,0.9053313403089188,0.0022992168439818607
17,0.9043348281016442,0.0014078560585560511
18,0.8998505231689088,0.0008592502052188616
19,0.905829596412556,0.0005235193184478273
