Iteration,Accuracy,Weight Decay
0,0.5201793721973094,0.0015419079166113527
1,0.5695067264573991,0.0022987868954999833
2,0.7722969606377678,0.0015775403157875594
3,0.8031888390632785,0.0024561219813951647
4,0.8246138515196811,0.00013428070885708815
5,0.841056302939711,0.002087469048199135
6,0.84853014449427,0.0002050516576497719
7,0.8530144494270054,3.820638742617516e-05
8,0.8560039860488291,0.0001359602933015334
9,0.8525161933233683,0.0046538652705207335
10,0.85401096163428,0.0005305074620760533
11,0.85401096163428,0.0011728546947397441
12,0.861484803188839,0.00017942495966672493
13,0.8629795714997509,0.00013234063409171506
14,0.8574987543597409,0.009583187223388231
15,0.8694569008470354,1.0625177672262101e-05
16,0.8719481813652217,1.4266874875425137e-05
17,0.8719481813652217,0.001159683291388799
18,0.8579970104633782,0.0054929527377848555
19,0.8684603886397608,0.0058234366776329025
