Iteration,Accuracy,Weight Decay
0,0.6492277030393623,0.09861851694491379
1,0.674638764324863,0.09619403427371759
2,0.693074240159442,0.09263211981741842
3,0.7419033383158944,0.08802047973124676
4,0.7862481315396114,0.08247266789928005
5,0.802192326856004,0.07612528986095322
6,0.8290981564524166,0.06913463912930984
7,0.8201295465869457,0.06167284872600258
8,0.8325859491778774,0.0539236526950234
9,0.8535127055306427,0.04607786196076218
10,0.8480318883906328,0.038328665929783026
11,0.8644743398106627,0.030866875526475736
12,0.8644743398106627,0.023876224794832344
13,0.8689586447433981,0.017528846756505522
14,0.874439461883408,0.011981034924538829
15,0.8769307424015944,0.007369394838367151
16,0.8794220229197808,0.003807480382067993
17,0.8769307424015944,0.0013829977108717802
18,0.8789237668161435,0.00015564563454002447
19,0.8729446935724963,0.00015564563454001894
