Iteration,Accuracy,Weight Decay
0,0.6138515196811161,0.04350343462103143
1,0.7174887892376681,0.024976940743916237
2,0.7782760338814151,0.014340191167883296
3,0.7912306925759841,0.008233237402443975
4,0.8081714000996513,0.0047270079827679235
5,0.8450423517688092,0.002713951192822261
6,0.84853014449427,0.00155818037622785
7,0.8599900348779272,0.0008946093398005229
8,0.8624813153961136,0.0005136285137897905
9,0.8624813153961136,0.00029489324383393244
10,0.8570004982561036,0.0001693091853823552
11,0.861484803188839,9.720670396565467e-05
12,0.8629795714997509,5.5809986177224715e-05
13,0.8589935226706528,3.204258996583746e-05
14,0.8639760837070254,1.8396843325823638e-05
15,0.8649725959143,1.0562312369747188e-05
16,0.8674638764324863,6.064216595219584e-06
17,0.8749377179870453,3.4816924198405245e-06
18,0.8739412057797707,1.9989691852251597e-06
19,0.85401096163428,1.1476825984711098e-06
