Iteration,Accuracy,Weight Decay
0,0.6023916292974589,0.09250011359918392
1,0.7144992526158446,0.0875001893319732
2,0.6686596910812157,0.08250026506476248
3,0.7488789237668162,0.07750034079755176
4,0.7717987045341306,0.07250041653034103
5,0.8131539611360239,0.06750049226313032
6,0.8181365221723966,0.06250056799591959
7,0.8201295465869457,0.057500643728708875
8,0.8216243148978575,0.05250071946149815
9,0.8186347782760339,0.047500795194287425
10,0.8246138515196811,0.04250087092707671
11,0.8405580468360737,0.03750094665986599
12,0.8545092177379173,0.03250102239265526
13,0.8455406078724464,0.027501098125444545
14,0.8475336322869955,0.022501173858233817
15,0.8574987543597409,0.017501249591023102
16,0.8574987543597409,0.012501325323812373
17,0.8764324862979571,0.007501401056601645
18,0.8844045839561535,0.00250147678939093
19,0.8385650224215246,-0.0024984474778197846
