Iteration,Accuracy,Weight Decay
0,0.6970602889885401,0.08556271867842906
1,0.7623318385650224,0.07656285499744975
2,0.7100149476831091,0.06806298374319152
3,0.8091679123069258,0.06006310491565437
4,0.8236173393124065,0.052563218514838285
5,0.8330842052815147,0.04556332454074328
6,0.841056302939711,0.03906342299336934
7,0.833582461385152,0.033063513872716464
8,0.8360737419033383,0.027563597178784673
9,0.84853014449427,0.02256367291157395
10,0.85401096163428,0.018063741071084306
11,0.8555057299451918,0.014063801657315725
12,0.8624813153961136,0.010563854670268217
13,0.8654708520179372,0.0075639001099417884
14,0.8679621325361235,0.005063937976336426
15,0.8644743398106627,0.0030639682694521392
16,0.8774289985052317,0.0015639909892889213
17,0.8794220229197808,0.0005640061358467762
18,0.8749377179870453,6.401370912570486e-05
19,0.8694569008470354,6.401370912570431e-05
