Iteration,Accuracy,Weight Decay
0,0.5331340308918784,0.09861851694491379
1,0.6143497757847534,0.09619403427371759
2,0.7050323866467364,0.09263211981741842
3,0.6073741903338316,0.08802047973124676
4,0.617339312406577,0.08247266789928005
5,0.6945690084703537,0.07612528986095322
6,0.7409068261086198,0.06913463912930984
7,0.6796213253612357,0.06167284872600258
8,0.776283009466866,0.0539236526950234
9,0.776283009466866,0.04607786196076218
10,0.8031888390632785,0.038328665929783026
11,0.794718485301445,0.030866875526475736
12,0.8350772296960638,0.023876224794832344
13,0.8510214250124564,0.017528846756505522
14,0.8624813153961136,0.011981034924538829
15,0.8754359740906826,0.007369394838367151
16,0.8873941205779771,0.003807480382067993
17,0.8873941205779771,0.0013829977108717802
18,0.8844045839561535,0.00015564563454002447
19,0.8799202790234181,0.00015564563454001894
