Iteration,Accuracy,Weight Decay
0,0.6148480318883907,0.04350343462103143
1,0.5864474339810662,0.024976940743916237
2,0.6885899352267065,0.014340191167883296
3,0.7274539113104136,0.008233237402443975
4,0.7568510214250125,0.0047270079827679235
5,0.802192326856004,0.002713951192822261
6,0.8320876930742401,0.00155818037622785
7,0.8405580468360737,0.0008946093398005229
8,0.8370702541106129,0.0005136285137897905
9,0.833582461385152,0.00029489324383393244
10,0.8360737419033383,0.0001693091853823552
11,0.8295964125560538,9.720670396565467e-05
12,0.866965620328849,5.5809986177224715e-05
13,0.8664673642252118,3.204258996583746e-05
14,0.8609865470852018,1.8396843325823638e-05
15,0.8639760837070254,1.0562312369747188e-05
16,0.8729446935724963,6.064216595219584e-06
17,0.8858993522670653,3.4816924198405245e-06
18,0.8883906327852517,1.9989691852251597e-06
19,0.890881913303438,1.1476825984711098e-06
