Iteration,Accuracy,Weight Decay
0,0.5954160438465371,0.08556271867842906
1,0.44593921275535625,0.07656285499744975
2,0.5306427503736921,0.06806298374319152
3,0.5894369706028899,0.06006310491565437
4,0.6880916791230692,0.052563218514838285
5,0.6731439960139511,0.04556332454074328
6,0.7742899850523169,0.03906342299336934
7,0.7957149975087194,0.033063513872716464
8,0.8271051320378675,0.027563597178784673
9,0.8579970104633782,0.02256367291157395
10,0.8555057299451918,0.018063741071084306
11,0.8460388639760837,0.014063801657315725
12,0.8719481813652217,0.010563854670268217
13,0.8734429496761336,0.0075639001099417884
14,0.877927254608869,0.005063937976336426
15,0.8868958644743398,0.0030639682694521392
16,0.8893871449925261,0.0015639909892889213
17,0.8933731938216243,0.0005640061358467762
18,0.8968609865470852,6.401370912570486e-05
19,0.8973592426507224,6.401370912570431e-05
