Iteration,Accuracy,Weight Decay
0,0.6547085201793722,0.002036760128061625
1,0.700548081714001,0.0019890221133939774
2,0.71898355754858,0.00194128409872633
3,0.7045341305430991,0.0018935460840586824
4,0.7543597409068261,0.0018458080693910348
5,0.7922272047832586,0.0017980700547233872
6,0.8310911808669657,0.0017503320400557398
7,0.8490284005979073,0.0017025940253880924
8,0.8505231689088192,0.0016548560107204448
9,0.8570004982561036,0.0016071179960527975
10,0.8714499252615845,0.0015593799813851499
11,0.8834080717488789,0.0015116419667175023
12,0.872446437468859,0.0014639039520498549
13,0.8754359740906826,0.0014161659373822073
14,0.8764324862979571,0.00136842792271456
15,0.8814150473343298,0.0013206899080469123
16,0.8789237668161435,0.001272951893379265
17,0.8868958644743398,0.0012252138787116173
18,0.8829098156452416,0.00117747586404397
19,0.8883906327852517,0.0011297378493763223
