Iteration,Accuracy,Weight Decay
0,0.6547085201793722,0.09859365859722952
1,0.5525660189337319,0.0977022978118037
2,0.672645739910314,0.09626736780297294
3,0.7095166915794718,0.09399142599319156
4,0.6517189835575485,0.09046519793170772
5,0.6851021425012457,0.0851955044373761
6,0.6935724962630793,0.07773032343152284
7,0.6895864474339811,0.06791835585137873
8,0.7678126557050324,0.056218313240475805
9,0.7673143996013951,0.04378320141530977
10,0.8256103637269556,0.03208315880440685
11,0.8445440956651719,0.022271191224262736
12,0.85401096163428,0.014806010218409481
13,0.8629795714997509,0.00953631672407786
14,0.866965620328849,0.006010088662594013
15,0.8749377179870453,0.0037341468528126437
16,0.8729446935724963,0.0022992168439818607
17,0.8784255107125062,0.0014078560585560511
18,0.8784255107125062,0.0008592502052188616
19,0.8858993522670653,0.0005235193184478273
