,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,0.5774788241155954,0.6337817638266069,0.5371200797209765,0.5710014947683109,0.5281514698555058,0.5485799701046338,0.624813153961136,0.5650224215246636,0.4997508719481813,0.5869456900847035,0.5311410064773293,0.528649725959143,0.4319880418535127,0.6228201295465869,0.4932735426008968,0.5430991529646239,0.5739910313901345,0.5625311410064773,0.5381165919282511,0.5311410064773293,0.669157947184853,0.5994020926756353,0.6258096661684106,0.6078724464374688,0.6093672147483806,0.5291479820627802,0.6601893373193821,0.6183358246138515,0.4588938714499253,0.5171898355754858,0.5122072745391131,0.5710014947683109,0.5401096163428002,0.5759840558046836,0.5122072745391131,0.6372695565520677,0.5789735924265073,0.57847533632287,0.5426008968609866,0.6218236173393124,0.5251619332336821,0.5306427503736921,0.5261584454409567,0.6018933731938216,0.5296462381664175,0.5595416043846537,0.5620328849028401,0.4379671150971599,0.5465869456900847,0.5171898355754858
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.5490782262082711,0.615346287992028,0.5296462381664175,0.4299950174389636,0.471350274040857,0.5386148480318884,0.624813153961136,0.5739910313901345,0.42152466367713,0.5376183358246138,0.4763328350772297,0.5371200797209765,0.3871449925261584,0.5779770802192327,0.4633781763826607,0.4957648231190832,0.5455904334828101,0.5480817140009965,0.4753363228699551,0.4045839561534629,0.5724962630792227,0.5979073243647235,0.5799701046337817,0.5705032386646737,0.585949177877429,0.5440956651718983,0.6332835077229696,0.6128550074738416,0.4514200298953662,0.5132037867463877,0.4569008470353762,0.5072247135027405,0.5271549576482312,0.5321375186846039,0.5510712506228201,0.6143497757847534,0.5271549576482312,0.5127055306427504,0.5251619332336821,0.5550572994519183,0.5296462381664175,0.5301444942700548,0.4952665670154459,0.5057299451918286,0.5326357747882412,0.5057299451918286,0.5266567015445939,0.3946188340807174,0.4573991031390134,0.4479322371699053
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,0.4369706028898854,0.5814648729446936,0.4504235176880917,0.2192326856003986,0.3298455406078724,0.4887892376681614,0.6163428001993024,0.5346287992027903,0.3393124065769806,0.473343298455406,0.4439461883408072,0.4623816641753862,0.2795216741405082,0.4823119083208769,0.3682112605879422,0.3851519681116093,0.4653712007972098,0.5401096163428002,0.351270553064275,0.2306925759840558,0.3044344793223717,0.5560538116591929,0.4838066766317887,0.4389636273044345,0.5595416043846537,0.521175884404584,0.5909317389138017,0.5744892874937718,0.3921275535625311,0.484304932735426,0.4245142002989536,0.3731938216243149,0.4294967613353264,0.4688589935226706,0.4977578475336323,0.5017438963627304,0.3891380169407075,0.4180368709516691,0.3911310413552566,0.2326856003986049,0.4668659691081215,0.4404583956153463,0.4095665171898355,0.3986048829098156,0.4459392127553562,0.4409566517189835,0.3906327852516193,0.3368211260587942,0.2401594419531639,0.3831589436970603
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,0.4000996512207274,0.5351270553064275,0.445440956651719,0.1998006975585451,0.3059292476332835,0.4808171400099651,0.5724962630792227,0.5535625311410065,0.3258594917787742,0.5107125062282013,0.4569008470353762,0.3941205779770802,0.2884902840059791,0.4539113104135526,0.3662182361733931,0.3761833582461385,0.4673642252117588,0.5241654210264076,0.2959641255605381,0.2262082710513203,0.2750373692077728,0.5112107623318386,0.4683607374190334,0.3652217239661185,0.547085201793722,0.5007473841554559,0.5455904334828101,0.5411061285500748,0.4000996512207274,0.4778276033881415,0.4872944693572496,0.5710014947683109,0.3811659192825112,0.4598903836571998,0.4708520179372197,0.5092177379172895,0.3941205779770802,0.3981066268061783,0.3647234678624813,0.1823617339312406,0.4449427005480817,0.4185351270553064,0.395615346287992,0.4354758345789736,0.4180368709516691,0.4050822122571001,0.3432984554060787,0.3542600896860987,0.1908320876930742,0.3637269556552068
61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
