Iteration,Accuracy,Weight Decay
0,0.5510712506228201,0.09861851694491379
1,0.41803687095166914,0.09619403427371759
2,0.40059790732436473,0.09263211981741842
3,0.4564025909317389,0.08802047973124676
4,0.48530144494270055,0.08247266789928005
5,0.5450921773791729,0.07612528986095322
6,0.5455904334828101,0.06913463912930984
7,0.5724962630792227,0.06167284872600258
8,0.6178375685102142,0.0539236526950234
9,0.6791230692575984,0.04607786196076218
10,0.6846038863976084,0.038328665929783026
11,0.6846038863976084,0.030866875526475736
12,0.6846038863976084,0.023876224794832344
13,0.6905829596412556,0.017528846756505522
14,0.6960637767812655,0.011981034924538829
15,0.7105132037867464,0.007369394838367151
16,0.7105132037867464,0.003807480382067993
17,0.7100149476831091,0.0013829977108717802
18,0.7289486796213254,0.00015564563454002447
19,0.7174887892376681,0.00015564563454001894
