Iteration,Accuracy,Weight Decay
0,0.4828101644245142,0.08556271867842906
1,0.4414549078226208,0.07656285499744975
2,0.35326357747882414,0.06806298374319152
3,0.4205281514698555,0.06006310491565437
4,0.4080717488789238,0.052563218514838285
5,0.44892874937717986,0.04556332454074328
6,0.47583457897359244,0.03906342299336934
7,0.47234678624813153,0.033063513872716464
8,0.6123567513702043,0.027563597178784673
9,0.6342800199302442,0.02256367291157395
10,0.6437468858993523,0.018063741071084306
11,0.6467364225211759,0.014063801657315725
12,0.6656701544593921,0.010563854670268217
13,0.6711509715994021,0.0075639001099417884
14,0.6895864474339811,0.005063937976336426
15,0.726457399103139,0.0030639682694521392
16,0.7473841554559043,0.0015639909892889213
17,0.7543597409068261,0.0005640061358467762
18,0.7698056801195815,6.401370912570486e-05
19,0.7648231190832088,6.401370912570431e-05
