Iteration,Accuracy,Weight Decay
0,0.5919282511210763,0.09859365859722952
1,0.4289985052316891,0.0977022978118037
2,0.3926258096661684,0.09626736780297294
3,0.4504235176880917,0.09399142599319156
4,0.43447932237169906,0.09046519793170772
5,0.49975087194818135,0.0851955044373761
6,0.5132037867463877,0.07773032343152284
7,0.5655206776283009,0.06791835585137873
8,0.5625311410064773,0.056218313240475805
9,0.6243148978574987,0.04378320141530977
10,0.6696562032884903,0.03208315880440685
11,0.6621823617339312,0.022271191224262736
12,0.6761335326357748,0.014806010218409481
13,0.6811160936721475,0.00953631672407786
14,0.6890881913303438,0.006010088662594013
15,0.700548081714001,0.0037341468528126437
16,0.7015445939212755,0.0022992168439818607
17,0.7035376183358246,0.0014078560585560511
18,0.7130044843049327,0.0008592502052188616
19,0.7159940209267563,0.0005235193184478273
